,Time,Pose_X,Pose_Y,Rezeroed_timestamps
0,1739967508.8,0.0,6.022083333333333,0.0
1,1739967508.9,0.0,6.143333333333333,0.10000014305114746
2,1739967509.0,-0.0808,6.345416666666666,0.20000004768371582
3,1739967509.1,0.0808,6.345416666666666,0.2999999523162842
4,1739967509.2,-0.3232,6.0625,0.40000009536743164
5,1739967509.3,-0.1616,5.900833333333332,0.5
6,1739967509.4,-0.0808,6.102916666666666,0.6000001430511475
7,1739967509.5,0.0404,5.860416666666666,0.7000000476837158
8,1739967509.6,-0.4848,5.779583333333333,0.7999999523162842
9,1739967509.7,-0.3232,6.143333333333333,0.9000000953674316
10,1739967509.8,-0.5252,5.9816666666666665,1.0
11,1739967509.9,-0.202,5.9816666666666665,1.1000001430511475
12,1739967510.0,0.0,6.022083333333333,1.2000000476837158
13,1739967510.1,-0.0808,6.143333333333333,1.2999999523162842
14,1739967510.2,-0.3232,6.709166666666666,1.4000000953674316
15,1739967510.3,0.0,5.900833333333332,1.5
16,1739967510.4,-0.0808,5.9816666666666665,1.6000001430511475
17,1739967510.5,-0.0808,5.819999999999999,1.7000000476837158
18,1739967510.6,-0.4444,6.507083333333332,1.7999999523162842
19,1739967510.7,-0.0404,6.022083333333333,1.9000000953674316
20,1739967510.8,-0.3636,6.789999999999999,2.0
21,1739967510.9,-0.0404,5.9816666666666665,2.1000001430511475
22,1739967511.0,-0.1616,6.587916666666667,2.200000047683716
23,1739967511.1,-0.0404,5.819999999999999,2.299999952316284
24,1739967511.2,-0.1616,5.779583333333333,2.4000000953674316
25,1739967511.3,-0.1616,5.779583333333333,2.5
26,1739967511.4,-0.0404,5.779583333333333,2.6000001430511475
27,1739967511.5,0.1616,5.900833333333332,2.700000047683716
28,1739967511.6,-0.28280000000000005,6.385833333333332,2.799999952316284
29,1739967511.7,-0.28280000000000005,6.385833333333332,2.9000000953674316
30,1739967511.8,-0.4444,6.264583333333333,3.0
31,1739967511.9,-0.0404,5.617916666666667,3.1000001430511475
32,1739967512.0,-0.0404,5.658333333333333,3.200000047683716
33,1739967512.1,-0.28280000000000005,5.617916666666667,3.299999952316284
34,1739967512.2,-0.202,6.224166666666667,3.4000000953674316
35,1739967512.3,-0.3232,6.385833333333332,3.5
36,1739967512.4,-0.5252,5.45625,3.6000001430511475
37,1739967512.5,-0.3232,6.224166666666667,3.700000047683716
38,1739967512.6,0.0404,6.385833333333332,3.799999952316284
39,1739967512.7,-0.0404,5.496666666666666,3.9000000953674316
40,1739967512.8,-0.0404,5.4158333333333335,4.0
41,1739967512.9,-0.1212,6.183749999999999,4.1000001430511475
42,1739967513.0,0.0,6.466666666666666,4.200000047683716
43,1739967513.1,-0.0404,6.385833333333332,4.299999952316284
44,1739967513.2,0.0,5.577499999999999,4.400000095367432
45,1739967513.3,0.0,6.42625,4.5
46,1739967513.4,-0.202,5.45625,4.6000001430511475
47,1739967513.5,-0.202,6.42625,4.700000047683716
48,1739967513.6,-0.1616,6.42625,4.799999952316284
49,1739967513.7,-0.0808,5.5370833333333325,4.900000095367432
50,1739967513.8,-0.0404,5.2541666666666655,5.0
51,1739967513.9,-0.1212,6.0625,5.1000001430511475
52,1739967514.0,0.0808,6.345416666666666,5.200000047683716
53,1739967514.1,0.0808,6.143333333333333,5.299999952316284
54,1739967514.2,0.0,5.375416666666666,5.400000095367432
55,1739967514.3,0.1616,5.335,5.5
56,1739967514.4,-0.1616,5.2541666666666655,5.6000001430511475
57,1739967514.5,-0.2424,6.143333333333333,5.700000047683716
58,1739967514.6,-0.3636,5.173333333333333,5.799999952316284
59,1739967514.7,-0.0808,5.213749999999999,5.900000095367432
60,1739967514.8,-0.404,5.860416666666666,6.0
61,1739967514.9,-0.202,5.860416666666666,6.1000001430511475
62,1739967515.0,-0.404,6.0625,6.200000047683716
63,1739967515.1,0.1212,5.213749999999999,6.299999952316284
64,1739967515.2,-0.0404,5.5370833333333325,6.400000095367432
65,1739967515.3,-0.4444,5.860416666666666,6.5
66,1739967515.4,0.1212,5.2541666666666655,6.6000001430511475
67,1739967515.5,-0.202,5.173333333333333,6.700000047683716
68,1739967515.6,0.0,4.85,6.799999952316284
69,1739967515.7,-0.0404,4.930833333333332,6.900000095367432
70,1739967515.8,-0.3636,5.294583333333333,7.0
71,1739967515.9,-0.1616,6.143333333333333,7.1000001430511475
72,1739967516.0,-0.202,5.9816666666666665,7.200000047683716
73,1739967516.1,0.0,5.375416666666666,7.299999952316284
74,1739967516.2,-0.1616,5.45625,7.400000095367432
75,1739967516.3,-0.4444,4.9712499999999995,7.5
76,1739967516.4,-0.28280000000000005,4.9712499999999995,7.6000001430511475
77,1739967516.5,0.0,4.9712499999999995,7.700000047683716
78,1739967516.6,-0.1212,5.294583333333333,7.799999952316284
79,1739967516.7,-0.3232,4.890416666666666,7.900000095367432
80,1739967516.8,-0.3232,4.809583333333333,8.0
81,1739967516.9,-0.1212,5.617916666666667,8.100000143051147
82,1739967517.0,0.1212,5.011666666666667,8.200000047683716
83,1739967517.1,0.1212,5.011666666666667,8.299999952316284
84,1739967517.2,0.1616,5.011666666666667,8.400000095367432
85,1739967517.3,-0.0808,4.9712499999999995,8.5
86,1739967517.4,0.1212,4.930833333333332,8.600000143051147
87,1739967517.5,0.0404,5.617916666666667,8.700000047683716
88,1739967517.6,-0.2424,4.890416666666666,8.799999952316284
89,1739967517.7,-0.1212,5.496666666666666,8.900000095367432
90,1739967517.8,-0.202,5.819999999999999,9.0
91,1739967517.9,-0.3232,4.930833333333332,9.100000143051147
92,1739967518.0,-0.0404,5.011666666666667,9.200000047683716
93,1739967518.1,-0.1616,4.647916666666666,9.299999952316284
94,1739967518.2,-0.28280000000000005,4.2437499999999995,9.400000095367432
95,1739967518.3,-0.0808,4.647916666666666,9.5
96,1739967518.4,-0.202,5.294583333333333,9.600000143051147
97,1739967518.5,-0.3636,5.819999999999999,9.700000047683716
98,1739967518.6,-0.2424,4.85,9.799999952316284
99,1739967518.7,-0.202,4.809583333333333,9.900000095367432
100,1739967518.8,-0.1616,4.607499999999999,10.0
101,1739967518.9,-0.1616,4.769166666666666,10.100000143051147
102,1739967519.0,-0.1616,4.769166666666666,10.200000047683716
103,1739967519.1,-0.1212,4.769166666666666,10.299999952316284
104,1739967519.2,-0.3232,5.658333333333333,10.400000095367432
105,1739967519.3,-0.3636,5.739166666666667,10.5
106,1739967519.4,-0.3232,5.6987499999999995,10.600000143051147
107,1739967519.5,-0.1616,4.72875,10.700000047683716
108,1739967519.6,-0.202,5.658333333333333,10.799999952316284
109,1739967519.7,-0.1212,5.658333333333333,10.900000095367432
110,1739967519.8,-0.1616,5.6987499999999995,11.0
111,1739967519.9,-0.2424,5.658333333333333,11.100000143051147
112,1739967520.0,-0.3232,5.617916666666667,11.200000047683716
113,1739967520.1,-0.6464,5.45625,11.299999952316284
114,1739967520.2,-0.1616,5.658333333333333,11.400000095367432
115,1739967520.3,-0.4444,5.5370833333333325,11.5
116,1739967520.4,-0.4848,5.375416666666666,11.600000143051147
117,1739967520.5,0.0404,5.496666666666666,11.700000047683716
118,1739967520.6,-0.0808,4.567083333333333,11.799999952316284
119,1739967520.7,0.0404,4.284166666666666,11.900000095367432
120,1739967520.8,-0.1616,4.445833333333333,12.0
121,1739967520.9,0.0,5.173333333333333,12.100000143051147
122,1739967521.0,-0.3232,4.526666666666666,12.200000047683716
123,1739967521.1,-0.2424,4.284166666666666,12.299999952316284
124,1739967521.2,-0.4848,5.213749999999999,12.400000095367432
125,1739967521.3,-0.0808,4.4054166666666665,12.5
126,1739967521.4,0.0808,4.041666666666667,12.600000143051147
127,1739967521.5,0.2424,4.203333333333333,12.700000047683716
128,1739967521.6,0.0404,4.2437499999999995,12.799999952316284
129,1739967521.7,0.0404,3.9204166666666667,12.900000095367432
130,1739967521.8,0.1212,4.284166666666666,13.0
131,1739967521.9,0.1212,3.88,13.100000143051147
132,1739967522.0,-0.0404,3.960833333333333,13.200000047683716
133,1739967522.1,0.0808,3.960833333333333,13.299999952316284
134,1739967522.2,0.0808,3.7183333333333333,13.400000095367432
135,1739967522.3,-0.1616,3.8395833333333327,13.5
136,1739967522.4,-0.202,4.809583333333333,13.600000143051147
137,1739967522.5,-0.1616,3.88,13.700000047683716
138,1739967522.6,-0.202,3.7991666666666664,13.799999952316284
139,1739967522.7,-0.202,3.75875,13.900000095367432
140,1739967522.8,-0.1616,3.556666666666666,14.0
141,1739967522.9,-0.202,3.7183333333333333,14.100000143051147
142,1739967523.0,-0.1212,4.6883333333333335,14.200000047683716
143,1739967523.1,-0.1616,4.6883333333333335,14.299999952316284
144,1739967523.2,-0.2424,4.607499999999999,14.400000095367432
145,1739967523.3,0.1212,3.677916666666666,14.5
146,1739967523.4,0.1616,3.6374999999999997,14.600000143051147
147,1739967523.5,0.0808,3.6374999999999997,14.700000047683716
148,1739967523.6,-0.1616,3.556666666666666,14.799999952316284
149,1739967523.7,-0.3232,4.445833333333333,14.900000095367432
150,1739967523.8,-0.0404,3.677916666666666,15.0
151,1739967523.9,0.0404,3.556666666666666,15.100000143051147
152,1739967524.0,0.0404,3.5970833333333334,15.200000047683716
